County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Contra Costa County,0,-6,1,1,16,26,79,144,122,199,149,98,95,99,118,133,194,197,239,268,512,870,1161,1479,1483,1452,1360,1239,1125,892,829,699,633,635,606,454,444,425,541,626,1008,1227,1686,1759,3199,3944,3927,3190,4537,5205,4106,2962,2025,1643,1278,990,838,694,595,523,542,504,582,592,503,467,444,373,359,291,303,325,324,381,451,758,1298,1879,2682,2097,2107,2099,3062,2632,2440,1300,1089,1016,871,722,759,691,703,584,639,500,898,719,1047,2598,8053,16721,16196,14179,11414,4622,3836,2011,1598,1100,635,551,804,537,337,589
Del Norte County,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,7,27,4,0,2,0,10,3,3,20,2,4,9,6,9,3,6,5,7,9,10,13,4,5,13,16,42,58,77,91,104,91,53,55,44,25,14,11,25,29,39,29,31,34,48,44,47,30,25,13,45,36,24,18,7,10,10,8,17,11,21,19,66,133,172,283,309,289,150,307,145,123,13,28,19,32,32,27,12,28,46,48,42,-1,20,65,109,217,244,428,216,331,173,96,61,49,21,-16,3,4,-2
El Dorado County,0,0,0,0,0,3,8,8,8,11,7,5,1,8,8,17,7,20,14,24,35,65,91,130,138,92,95,64,62,43,36,42,24,41,85,56,35,38,68,101,123,283,432,598,814,847,779,622,767,734,531,350,172,198,163,105,96,78,47,73,67,99,123,120,131,137,90,72,77,37,29,33,50,44,83,103,156,225,327,441,475,405,535,480,522,348,227,275,235,190,217,197,193,180,148,138,202,176,188,300,850,1489,1747,1611,1438,734,646,368,145,87,73,35,101,43,14,39
Fresno County,2,-6,0,0,0,2,17,72,77,122,127,142,202,403,400,440,547,494,673,854,1355,2680,2517,2974,2843,2624,2108,1744,1653,1264,1169,940,672,660,643,577,750,731,665,756,1499,1910,2963,2505,5186,6671,6661,5134,6454,7021,5110,3310,2258,1760,1308,1089,976,937,804,723,664,483,460,390,361,347,359,256,237,194,137,153,165,156,204,315,527,805,1428,1717,2480,2007,2460,3493,4405,2587,2188,2196,2066,2127,2306,2443,2064,1542,1317,931,1289,1077,1069,1252,3907,10009,11920,20918,14426,6483,5638,2658,1647,1273,724,917,867,705,172,366
Glenn County,1,-3,0,0,0,0,0,1,1,2,0,0,1,2,1,5,2,4,6,21,45,46,46,53,61,53,31,25,15,12,27,48,37,22,28,21,17,15,32,24,53,69,96,113,125,102,118,140,179,152,139,76,43,58,26,24,23,20,18,31,19,15,10,6,9,8,13,18,10,4,1,4,4,5,6,7,7,7,25,44,67,79,100,78,161,85,81,84,31,71,50,41,34,30,6,18,30,12,7,35,69,104,260,301,266,131,90,43,20,27,23,5,9,5,2,3
Humboldt County,1,-4,1,0,0,3,3,18,17,13,2,0,2,1,8,23,14,6,4,11,15,11,21,26,18,24,23,37,39,23,44,34,34,15,17,13,14,18,12,27,46,87,134,98,217,189,157,175,251,227,270,211,177,92,78,93,82,97,79,51,43,28,57,103,144,90,124,148,88,61,66,47,60,58,50,73,112,206,318,459,362,380,432,227,492,281,185,254,201,144,122,105,149,152,160,112,164,60,247,199,635,1126,1272,1195,897,474,482,293,172,117,58,23,-17,12,10,16
Imperial County,0,-4,0,1,1,4,6,35,27,36,75,119,115,207,360,622,886,1116,1245,943,1045,922,744,634,579,342,314,301,237,210,162,141,127,152,167,205,237,254,363,304,533,812,1315,792,1552,2128,1245,1008,1168,1175,730,444,378,281,165,96,97,91,61,99,82,163,197,149,111,103,144,94,47,47,37,33,46,31,64,77,134,152,248,184,179,255,297,162,339,326,347,368,320,384,399,398,348,422,429,376,509,459,630,632,1295,2869,3068,3807,3253,1267,1029,463,322,202,224,201,89,74,-25,104
