County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Napa County,1,-2,0,0,1,0,2,13,11,11,11,11,13,10,1,18,17,21,24,55,81,109,140,134,202,164,127,90,79,75,65,65,51,77,72,46,66,80,92,153,230,287,363,374,595,585,614,528,671,714,627,423,322,215,117,100,116,73,65,78,115,97,108,81,56,61,37,41,16,20,21,35,23,35,47,50,109,147,190,209,191,246,318,146,322,182,151,150,146,127,78,69,121,105,111,56,78,124,176,413,1173,1664,2678,1850,1205,573,1518,357,199,194,133,51,42,61,37,107
Nevada County,1,-5,0,0,0,1,6,13,12,4,1,1,3,0,0,1,0,8,4,19,29,34,46,37,63,36,26,29,33,35,20,21,16,33,12,19,21,26,33,42,117,163,254,304,427,290,235,214,243,229,167,188,135,116,85,88,73,78,56,54,96,79,58,71,88,94,48,32,23,35,31,35,32,35,41,72,114,160,408,453,363,287,429,286,412,216,152,190,143,106,155,135,189,143,152,115,144,111,147,153,346,840,982,1362,1031,469,352,183,97,34,17,11,-8,19,2,38
Orange County,4,22,5,4,13,41,174,441,398,397,366,503,684,1054,990,1178,1215,1348,1438,1688,3377,5523,5723,5756,5083,3445,2778,2276,1613,1377,1244,1131,991,1173,1419,1288,1324,1384,1587,1616,2605,3739,6852,7967,13231,18971,22368,18404,21656,23100,15150,11011,7572,5337,3045,1880,1472,1099,991,765,817,780,761,674,597,459,407,326,254,212,198,245,269,401,679,1212,1995,3064,4383,4968,4683,3665,4033,1948,4362,2532,2835,1962,1746,1719,1706,1908,1960,1690,1805,1446,2535,2342,3115,9404,27558,56928,44538,41997,21390,9639,5302,2209,1797,1257,1057,1849,814,733,536,1329
Placer County,1,-4,0,2,5,3,16,44,38,21,14,7,10,15,7,6,22,39,94,133,137,219,250,318,353,289,284,259,187,160,187,176,122,145,84,126,134,172,267,319,448,594,978,1076,1663,1632,1647,1287,1617,1459,1051,684,521,424,305,217,241,259,242,202,217,250,290,265,209,194,185,145,158,102,118,123,123,157,149,236,315,565,791,906,819,855,1275,1409,1440,887,639,554,539,447,564,556,533,360,356,294,495,405,447,683,1825,3981,4501,4241,3373,1714,1191,618,264,232,180,160,129,105,55,52
Plumas County,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,5,5,3,8,6,1,4,0,1,2,3,4,1,0,2,1,9,14,17,30,29,42,41,65,67,55,37,39,48,38,23,12,9,7,3,5,3,7,9,5,6,0,6,5,5,3,5,4,4,6,1,3,6,5,3,12,9,21,41,46,65,70,53,93,73,55,62,133,116,63,77,66,44,31,26,29,29,29,18,19,77,118,163,144,63,55,28,34,12,8,33,16,90,37,42
Riverside County,4,-60,0,5,4,17,90,315,419,760,887,914,813,704,698,899,1062,1806,1885,2157,3603,5003,4841,5457,4874,4422,3661,2673,2200,1833,1565,1241,1371,1393,1763,1837,1860,1971,2168,2480,3896,4740,8429,9012,16611,20730,25301,20038,24344,26473,19707,13320,8540,5553,3097,2018,1450,1107,909,770,625,652,814,721,608,474,506,431,370,296,278,256,365,463,669,1158,1902,3055,4582,5662,6006,5146,6169,3228,7116,4245,3692,3334,2657,2326,2697,2882,2887,2571,2593,2842,3566,3837,4337,7570,22380,40312,42939,40064,22491,11326,10070,4815,2146,1760,922,1182,601,524,476,510
Sacramento County,1,-2,1,4,5,32,87,183,191,206,187,95,83,74,47,87,71,143,190,282,642,1169,1567,1928,2078,1968,1646,1489,1567,1377,1170,1131,975,1165,831,713,620,721,925,1182,2117,2925,3639,3725,6479,6779,6507,5013,6170,6350,5007,3636,2667,2205,1824,1481,1093,995,974,953,1093,1012,1094,1074,932,894,803,692,650,610,443,451,455,593,819,1108,1716,2513,3282,3528,3679,3396,5738,5326,4727,2583,2142,1922,1747,1908,2123,1349,1883,1164,1322,1016,1545,1570,1831,2708,9254,19554,22482,19004,15123,6607,5561,3092,1495,1215,451,692,669,547,584,1401
