County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Marin County,0,-6,0,1,1,8,24,31,49,41,17,34,31,15,30,54,98,87,126,185,672,1058,817,821,512,380,325,235,201,139,213,150,122,132,120,101,113,83,81,78,123,148,171,234,353,399,592,441,595,803,615,364,347,254,222,156,166,140,89,89,94,65,70,44,62,73,50,38,28,32,20,23,24,30,60,94,169,233,312,292,234,277,317,112,278,187,150,134,118,112,105,119,151,116,117,132,252,236,279,857,1947,2689,2653,2350,1719,719,608,283,208,146,174,148,161,154,102,181
Mariposa County,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,0,1,0,0,2,3,9,6,2,9,8,6,4,5,1,2,1,1,1,1,1,0,1,2,3,6,5,22,25,28,16,18,20,52,39,18,12,9,11,6,4,1,1,1,10,4,3,4,8,7,8,1,5,1,5,1,3,1,2,1,3,4,19,21,64,52,32,71,37,66,70,45,85,63,85,59,46,49,30,29,34,34,20,19,16,63,158,153,162,162,60,41,25,33,15,9,6,6,4,3,12
Mendocino County,0,0,0,0,0,0,1,1,2,0,0,1,5,1,0,2,6,10,3,16,19,14,21,46,49,58,61,104,77,72,58,59,35,70,60,53,41,44,28,42,81,75,133,159,190,228,211,153,246,296,149,131,134,156,103,38,29,35,26,35,13,15,14,19,19,29,38,49,46,37,47,40,41,39,37,40,74,110,163,242,273,276,355,165,429,258,209,193,119,95,135,126,156,121,156,95,128,122,73,85,224,699,789,915,883,379,287,171,100,139,47,39,23,26,15,20
Merced County,0,-3,0,0,1,1,0,4,20,20,54,28,35,43,34,59,51,38,102,173,319,539,657,890,930,1034,931,744,535,491,348,322,213,152,149,151,160,128,164,269,349,495,781,877,1445,1705,1813,1254,1736,2223,1649,1203,990,724,586,423,411,340,356,285,270,235,183,195,178,169,115,79,117,80,49,47,43,57,65,99,169,247,365,512,763,755,1011,581,1351,894,647,799,521,536,240,909,493,332,348,267,374,285,258,284,1142,2463,3680,3273,3258,1299,1104,608,328,260,141,138,78,86,39,66
Modoc County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,6,10,2,2,2,0,0,1,8,13,19,14,16,25,28,37,26,29,24,21,4,9,9,16,5,2,5,5,2,0,5,3,6,4,0,1,3,1,2,6,4,11,15,4,1,1,1,0,3,3,2,8,5,1,14,6,8,7,5,21,14,8,9,9,13,18,24,2,0,4,8,14,12,14,14,18,28,11,9,2,2,3,3,4,2,0
Mono County,0,-1,0,0,0,1,2,11,10,4,1,0,1,2,0,4,0,2,1,0,3,3,9,13,33,35,14,11,2,1,0,1,1,0,4,2,2,0,20,68,191,21,16,52,94,88,87,57,50,111,59,26,17,19,14,5,8,9,10,15,14,6,3,2,2,4,3,1,7,3,0,1,1,1,1,5,3,14,13,25,19,40,7,24,22,49,35,39,41,45,36,34,28,23,42,36,68,40,23,56,148,242,219,164,87,31,34,8,1,0,1,1,4,1,0,10
Monterey County,0,-1,0,0,0,1,7,34,20,18,53,53,40,47,60,59,89,184,238,296,373,434,534,728,736,772,838,773,662,557,586,519,421,402,417,384,338,363,327,442,725,877,1366,1354,2517,2889,3027,2472,3206,3369,2708,1932,1370,911,672,383,250,172,122,126,115,113,101,78,78,86,84,68,38,39,21,39,36,40,48,120,134,175,266,322,361,395,408,230,507,326,305,261,167,165,159,209,177,221,213,177,272,374,353,373,1106,2632,3798,4389,4125,3471,5916,2012,566,372,154,208,190,259,93,205
