County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Inyo County,0,0,0,0,0,0,0,0,9,2,2,6,0,0,0,0,0,1,2,2,3,5,3,4,3,13,17,40,36,21,12,4,2,1,2,7,10,17,20,6,9,12,20,22,51,99,95,97,83,124,106,66,58,64,60,55,35,28,19,13,7,8,10,1,5,2,4,1,0,0,2,1,2,3,4,1,6,13,28,20,7,9,39,25,32,43,43,102,67,157,157,127,97,51,52,37,21,41,21,50,176,381,413,167,120,57,32,13,20,13,8,-2,1,6,4,4
Kern County,1,-6,0,0,0,4,21,66,105,156,266,178,211,259,293,295,454,455,651,823,1300,2214,3626,4007,4117,3011,2479,1776,1412,974,704,553,567,544,441,478,461,487,471,638,1073,1578,2461,2690,4818,6430,6065,4859,6048,6723,4717,3400,2427,2130,1412,901,761,606,439,390,376,239,252,235,226,245,236,190,187,145,158,111,131,133,174,231,438,680,1012,1459,1710,1654,2633,1644,3650,2459,1878,1908,1709,1650,1806,2029,1629,1191,1226,1210,1012,999,974,820,2937,8423,11005,12304,8503,3855,3896,2141,1118,959,353,664,144,126,96,324
Kings County,0,-13,0,0,0,0,4,8,3,9,7,21,73,132,113,100,263,479,493,270,296,334,348,395,469,430,551,392,438,334,360,532,251,382,271,274,162,75,345,281,451,477,921,972,1209,1028,1128,916,1033,1333,1207,765,590,466,302,220,134,157,134,126,81,41,22,68,56,58,60,35,23,30,18,17,24,38,53,55,135,207,316,462,577,540,746,509,1110,661,512,692,505,556,622,544,391,338,268,202,312,179,355,232,726,1518,2712,4133,3542,1406,1223,766,593,344,220,73,51,75,30,25
Lake County,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,1,9,8,5,3,7,34,27,41,35,25,28,25,28,31,33,43,54,87,45,26,46,36,22,35,37,51,83,113,167,229,211,195,229,303,297,125,101,100,87,62,51,39,42,48,26,26,28,26,16,22,15,18,18,17,15,16,7,33,54,87,179,262,241,286,197,160,218,149,341,188,151,125,111,104,114,100,69,46,54,49,35,35,49,35,89,272,478,530,719,396,550,252,141,102,62,29,19,3,13,12
Lassen County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,8,216,19,231,36,49,65,58,14,9,2,10,3,10,5,7,6,6,6,15,64,375,548,477,539,648,480,416,250,105,104,86,63,63,54,37,18,8,2,5,4,6,5,8,6,3,7,11,12,15,21,11,17,16,20,9,10,8,32,57,87,63,110,81,196,186,190,81,95,112,81,87,55,85,39,48,29,26,10,16,28,94,248,270,439,200,169,172,91,102,32,11,4,3,3,2
Los Angeles County,32,-396,18,29,54,172,750,1530,2371,4243,4410,5006,6024,6770,6757,7266,6878,8540,8743,9923,13840,17769,18965,20225,20673,18441,14471,12602,10348,8798,7860,6662,5578,6470,6885,7205,7666,8360,9191,9348,14806,20012,30294,33839,62837,81458,101867,86440,102017,113662,76264,49904,33789,23444,13597,8058,5560,4362,3911,3227,3064,3123,3114,2873,2372,2021,1770,1424,1165,1066,1177,1194,1423,1902,3486,6475,11269,15631,19753,21330,20417,17628,18384,8607,14863,15203,9376,8227,7228,6974,7884,7622,8840,8485,7863,5003,10286,10126,18159,58238,139892,254998,241157,199181,147976,67637,29585,20866,9968,10159,6410,11349,7132,5298,2604,7742
Madera County,0,-3,0,0,2,4,10,12,8,13,8,8,6,18,21,35,18,66,86,125,152,216,346,431,418,449,407,333,286,256,178,148,195,177,115,141,101,114,121,143,199,262,501,512,845,961,1067,907,1167,1181,937,607,396,299,204,184,169,177,91,87,93,92,108,74,61,52,31,41,29,28,32,36,42,46,47,74,81,147,243,236,289,312,475,346,752,471,466,434,406,394,441,479,459,353,261,178,278,182,181,163,508,1256,1702,2963,2534,1294,1078,625,230,155,95,34,40,21,9,6
