County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Santa Clara County,3,-23,4,13,48,114,275,434,361,281,359,247,200,162,155,141,192,185,246,344,571,868,1052,1621,1857,1564,1476,1630,1501,1168,1187,1104,872,866,721,697,736,841,915,1002,1687,2283,3202,4002,7398,7988,8786,6940,8860,9896,7165,4856,3362,2807,1936,1497,1338,1100,808,734,746,762,956,793,689,468,370,291,202,177,192,192,208,202,319,627,952,1485,1767,1988,1987,2114,2787,2270,2666,1516,1264,1068,1029,1041,1035,1044,1206,1127,1226,980,1675,1253,1943,4571,14604,31224,31881,26647,19508,9670,7621,3679,2125,1551,1170,919,1427,1318,789,1327
Santa Cruz County,0,-1,0,2,6,7,17,27,19,17,3,22,15,6,12,17,39,17,27,28,78,69,123,157,255,207,164,139,153,138,121,137,126,165,134,95,98,96,122,171,273,405,606,606,876,1002,1167,1043,1378,1614,1156,717,510,388,251,185,141,113,111,66,91,78,57,69,54,47,35,34,31,21,16,12,39,27,34,52,86,168,256,325,340,314,459,191,419,191,195,183,266,148,170,189,187,187,264,238,293,266,319,423,1324,3811,4396,5031,4489,1777,1771,905,507,428,241,170,56,126,187,270
Shasta County,0,0,0,0,2,0,1,7,6,10,3,1,4,4,6,1,5,7,12,22,43,50,57,55,61,78,56,47,27,30,24,34,51,133,265,350,311,172,223,429,652,836,928,647,829,655,450,460,656,644,474,297,263,200,147,136,95,72,67,80,96,99,101,139,112,136,138,139,104,91,76,79,49,46,50,45,84,149,292,351,432,493,722,472,1287,856,753,561,508,509,522,437,395,280,338,199,227,189,154,132,312,777,917,1844,1322,713,691,415,209,147,102,60,24,18,21,-8
Sierra County,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,6,2,1,1,4,1,5,5,2,6,3,1,1,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,2,2,2,0,3,0,3,6,8,1,5,4,14,18,3,2,8,11,18,3,12,3,6,4,2,3,1,2,5,7,10,19,16,3,4,4,0,4,0,0,0,0,-1,0,4
Siskiyou County,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,4,5,9,4,5,2,23,11,14,13,12,8,6,13,9,6,3,1,13,2,8,23,43,41,104,169,124,102,94,67,52,75,101,47,44,56,47,47,34,35,26,19,13,10,5,20,45,49,80,69,40,37,16,14,7,6,3,10,23,22,28,30,74,64,68,145,108,214,154,115,100,59,48,44,25,18,12,33,37,36,14,31,12,37,105,136,189,118,106,117,61,48,18,16,10,11,5,2,0
Solano County,2,-20,1,9,7,5,17,20,34,54,51,27,56,67,71,56,59,85,122,169,329,440,516,658,613,475,375,374,296,271,283,190,225,208,189,220,251,288,277,432,597,670,944,926,1444,2058,2308,1918,2484,2635,1888,1392,1033,725,462,283,253,257,215,199,277,237,282,297,299,267,244,166,149,164,136,129,136,152,214,328,446,843,859,683,771,877,1401,1414,1113,647,482,485,409,313,271,319,249,288,261,252,312,324,348,762,2791,5089,4850,7047,4142,1892,4526,1405,658,378,334,161,300,92,110,-104
Sonoma County,0,-11,0,3,3,7,27,51,43,28,18,24,46,48,60,79,98,85,98,144,191,307,407,450,569,516,494,500,644,527,577,416,379,360,497,449,515,430,471,485,611,573,735,881,1420,1593,1655,1397,1713,2002,1572,1131,767,585,562,468,349,329,261,174,183,179,163,113,87,106,86,111,129,155,178,199,218,233,241,283,387,685,849,756,722,776,956,930,894,502,347,377,346,304,407,473,439,352,334,248,451,392,546,1001,3477,6725,8083,7347,5506,2193,1987,1047,703,495,186,252,128,247,260,571
