County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
Stanislaus County,2,-20,1,1,0,4,11,22,45,56,92,51,111,78,84,74,80,155,313,510,790,1153,1368,1962,1857,1554,1413,1121,959,715,612,430,347,306,218,243,281,298,334,372,652,952,1477,1508,2761,3122,3092,2471,2996,3399,2807,2047,1452,1372,997,703,576,525,599,528,530,508,457,433,441,488,390,340,265,229,196,188,198,183,178,236,441,682,976,1276,1514,1437,2242,1672,2581,1653,1408,1132,1041,1037,973,1086,895,702,593,439,722,608,659,703,1996,4741,7017,7194,5575,2705,2304,1220,652,522,349,65,-475,-136,0,38
Sutter County,0,-7,0,0,0,0,2,5,9,6,1,3,2,2,4,4,3,3,26,22,34,55,110,152,140,156,154,124,140,130,116,88,87,69,35,49,24,39,62,72,171,418,581,608,799,724,637,490,442,547,373,335,288,188,122,105,79,71,56,65,69,53,45,48,53,33,41,29,44,35,47,38,33,30,47,72,114,141,264,295,327,339,481,285,581,282,178,200,169,138,165,129,129,75,76,69,113,91,80,156,292,835,1331,1151,894,467,329,212,136,108,92,46,29,31,15,29
Tehama County,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,4,6,17,29,26,28,30,53,47,36,33,43,45,29,29,23,47,54,79,61,99,94,97,121,200,266,219,296,328,250,265,335,323,302,205,181,122,65,52,36,27,49,44,45,44,51,34,39,34,26,31,32,23,14,18,9,12,9,16,28,27,82,112,194,211,236,237,464,351,243,240,200,252,207,182,129,80,57,51,37,41,48,44,120,375,555,629,542,307,265,155,75,51,28,35,13,6,8,2
Trinity County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,2,3,5,2,1,1,0,0,5,1,5,7,15,31,35,50,25,29,26,22,8,11,9,0,1,3,5,8,7,4,1,2,2,4,2,3,1,0,0,0,0,0,0,3,1,3,3,0,2,6,4,7,20,12,30,35,16,45,33,29,56,22,19,11,28,16,14,28,11,19,5,6,3,4,24,32,89,93,38,13,24,14,14,-2,2,-1,0,4,1
Tulare County,0,-5,0,0,0,2,5,28,41,124,152,169,169,417,441,285,282,304,524,542,678,855,1057,1276,1435,1335,1105,1061,915,698,639,481,419,389,434,393,358,369,370,411,589,731,1249,1360,2340,3162,2883,2354,3317,3416,2544,1731,1293,995,705,453,386,320,261,199,130,142,112,105,105,111,121,147,93,64,52,49,40,51,66,78,134,283,461,659,822,908,1756,1163,2443,1590,1354,1348,1074,1211,1181,975,869,611,527,537,426,476,396,443,1129,3272,4837,9060,6002,2910,2597,1223,703,579,260,231,270,210,457,479
Tuolumne County,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,4,1,3,26,22,25,36,16,17,5,10,14,23,10,7,6,2,3,10,17,15,31,130,255,244,197,251,596,566,264,216,181,130,114,89,124,130,62,39,24,11,14,16,14,13,13,14,15,20,11,9,10,4,12,9,16,22,24,38,111,257,235,189,212,264,105,306,207,138,194,152,166,201,217,155,132,110,63,97,76,70,105,207,557,724,875,913,334,321,220,125,173,141,55,-3,9,11,9
Ventura County,1,-7,1,2,2,9,39,101,104,93,100,88,69,122,147,219,220,174,301,369,604,1159,923,1119,1114,871,834,672,588,659,518,548,466,516,426,374,389,344,407,490,867,1189,1851,2035,3787,4240,4965,3989,7883,9615,6910,4942,3841,2823,1666,1036,768,628,488,377,340,254,232,222,186,178,205,139,118,109,90,81,80,128,249,320,502,654,1224,1363,1661,1347,1329,513,1879,992,905,715,723,655,424,577,625,473,500,401,877,740,1292,2750,7255,16288,13887,13550,7628,3168,2724,1255,697,159,340,432,374,276,179,321
Yolo County,0,-2,0,0,1,1,12,15,19,23,58,34,9,9,6,4,17,17,28,51,146,184,237,313,262,246,180,174,164,140,153,127,81,61,60,85,99,107,130,132,292,341,639,542,758,854,905,667,868,1033,871,585,383,259,210,172,145,108,112,102,74,93,89,102,106,113,69,59,50,50,25,27,46,43,69,106,175,277,375,409,348,431,644,345,586,293,251,233,232,235,260,248,215,146,154,121,180,170,221,395,1240,3479,2643,2729,1722,901,1092,408,236,183,120,85,138,116,197,162
Yuba County,0,-2,0,0,0,0,1,5,1,6,1,2,0,3,3,4,0,3,3,4,6,32,50,86,97,102,106,99,100,81,90,69,58,37,38,31,39,46,49,67,106,154,274,315,410,400,454,323,373,357,275,224,156,121,97,76,56,63,60,33,44,46,33,40,50,26,53,47,35,40,32,24,53,27,43,65,97,180,212,236,260,100,0,0,0,0,0,0,2160,217,14,0,0,0,0,0,636,0,0,0,0,0,2305,1077,806,393,360,167,86,84,51,40,34,20,9,9
