County Name,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10
San Benito County,1,-6,0,0,0,3,3,11,10,7,2,6,7,3,4,5,17,17,19,43,50,54,65,104,97,104,88,79,100,124,107,87,36,54,38,16,16,24,29,40,80,94,133,169,335,352,486,398,490,569,414,278,175,111,88,64,41,26,33,28,22,41,38,40,28,16,24,10,7,2,3,17,4,14,35,36,22,44,50,80,85,94,97,90,116,91,68,86,85,70,30,120,61,49,53,58,126,94,92,195,539,912,821,909,649,329,309,130,71,49,0,24,19,19,10,9
San Bernardino County,10,-87,4,6,8,15,57,147,270,424,419,442,422,656,604,896,867,983,1387,1846,3269,4667,4892,5139,5241,4244,3412,3104,2370,1938,1449,1228,1076,1340,1806,1942,2135,2224,2669,3021,4971,7220,11402,11500,20318,24675,26559,21150,23384,25098,16389,10310,6173,4350,2666,1552,1123,864,738,636,565,656,719,628,497,437,486,382,353,268,223,276,311,492,734,1016,1757,2475,3862,5067,5078,4788,5432,2006,6778,3641,3079,2547,2106,2216,2380,2475,3089,2569,2581,2656,3894,3691,3822,6821,22156,33557,45523,33026,19803,8194,8310,3418,1915,1953,1038,720,762,677,936,1822
San Diego County,0,1,2,2,8,48,251,539,472,477,519,590,945,921,903,938,855,946,1047,1150,2220,3281,3574,4190,3533,2844,2352,1886,1643,1649,1881,2252,1941,1934,1985,1928,2117,2036,2313,2758,4213,5538,8207,8641,13196,17519,20358,17955,23755,26408,19054,13922,9547,6960,4388,2908,2338,1789,1559,1396,1463,1577,1630,1678,1431,1091,1003,850,672,556,528,427,516,656,910,1863,3182,4928,6589,7914,8209,7311,8402,4414,8622,4184,5195,3758,2893,3770,3336,3710,3508,3262,3383,1022,4954,5328,7978,14900,39087,77344,67487,61317,35723,18239,8520,8396,5462,5664,2092,3318,2367,2105,976,1884
San Joaquin County,0,-7,1,1,4,7,37,66,85,79,121,82,73,49,68,92,150,196,398,675,925,1442,2154,2083,2413,2041,1583,1144,1027,875,709,541,407,386,338,392,349,409,484,553,841,1067,1541,1621,4002,4746,4782,3822,4562,4957,3941,2453,1809,1559,1142,731,685,650,742,642,587,592,514,514,452,457,383,292,273,235,200,213,195,235,304,435,656,1016,1408,1695,1716,1964,2801,2178,2635,1746,1472,1206,953,920,955,985,772,854,716,609,817,702,755,1243,4368,8519,15488,11965,9841,3789,2887,1760,819,522,330,274,298,181,144,99
San Luis Obispo County,1,-16,0,2,0,2,28,44,28,22,18,19,46,25,30,20,14,17,41,75,114,177,219,364,289,266,218,277,292,176,230,156,118,180,151,141,178,129,124,214,512,460,602,490,817,1010,1117,1203,1700,2342,1512,1072,695,627,435,292,195,190,185,171,180,162,171,165,122,71,72,78,52,53,39,32,24,30,52,74,157,237,354,614,708,708,1043,571,876,476,415,447,276,288,270,290,266,207,295,173,291,294,352,616,1961,3357,3737,3841,3037,1379,1444,741,384,328,157,175,231,106,56,86
San Mateo County,0,-4,2,5,16,54,113,206,248,153,119,206,206,158,176,242,243,224,206,208,302,408,460,687,691,649,598,624,505,424,500,446,408,387,316,321,262,278,310,335,584,702,989,1141,2126,2777,2590,2195,2988,3354,2680,1728,1390,1038,705,475,361,335,252,261,299,262,281,292,203,189,154,121,99,77,78,91,84,125,196,325,529,697,889,925,764,757,913,766,937,598,467,406,373,286,161,566,290,405,319,232,512,461,706,2063,6183,9311,13598,9329,6456,3905,8968,1200,1032,768,515,339,497,630,512,1139
Santa Barbara County,0,0,0,0,0,3,35,79,101,96,95,119,60,77,941,138,124,141,275,378,471,650,754,826,746,593,485,423,385,298,299,319,240,193,214,160,170,195,192,161,278,399,510,588,946,1237,1521,1451,2530,3166,2712,2265,1488,1128,708,533,405,292,239,208,229,227,189,185,157,137,87,71,52,37,35,38,38,53,74,127,272,388,510,640,754,746,797,503,1206,913,433,605,403,416,385,367,381,334,422,281,549,433,560,1083,3626,7281,7548,6985,5545,2468,2019,968,473,280,42,32,37,169,138,277
